Rk,Player,Age,Tm,Pos,GP,G,A,PTS
1,Nikita Kucherov,25,TBL,RW,49,22,56,78
2,Mikko Rantanen,22,COL,RW,50,23,51,74
3,Johnny Gaudreau,25,CGY,LW,51,29,44,73
4,Connor McDavid,22,EDM,C,49,29,44,73
5,Patrick Kane,30,CHI,RW,50,29,42,71
6,Nathan MacKinnon,23,COL,C,50,27,44,71
7,Brayden Point,22,TBL,C,49,30,35,65
8,Mitch Marner,21,TOR,C,49,20,42,62
9,Leon Draisaitl,23,EDM,C,50,27,34,61
10,Sean Monahan,24,CGY,C,51,27,34,61
11,Blake Wheeler,32,WPG,RW,48,9,52,61
12,Mark Scheifele,25,WPG,C,48,25,34,59
13,Elias Lindholm,24,CGY,C,51,21,37,58
14,Sebastian Aho,21,CAR,RW,50,22,35,57
15,Sidney Crosby,31,PIT,C,45,21,36,57
16,Alex Ovechkin,33,WSH,LW,50,37,20,57
17,Steven Stamkos,28,TBL,C,49,26,31,57
18,Matthew Tkachuk,21,CGY,LW,51,24,33,57
19,David Pastrnak,22,BOS,RW,49,27,29,56
20,Brent Burns,33,SJS,D,52,9,46,55
21,Gabriel Landeskog,26,COL,LW,50,29,25,54
22,John Tavares,28,TOR,C,49,30,24,54
23,Phil Kessel,31,PIT,RW,48,20,33,53
24,Brad Marchand,30,BOS,LW,48,19,34,53
25,Artemi Panarin,27,CBJ,LW,46,19,34,53
26,Jack Eichel,22,BUF,C,45,16,36,52
27,Mark Giordano,35,CGY,D,49,11,41,52
28,Claude Giroux,31,PHI,C,48,14,38,52
29,Evgeni Malkin,32,PIT,C,48,14,38,52
30,Nicklas Backstrom,31,WSH,C,49,13,38,51
31,Ryan O'Reilly,27,STL,C,49,18,32,50
32,Morgan Rielly,24,TOR,D,49,13,37,50
33,Mark Stone,26,OTT,RW,50,22,28,50
34,Jonathan Huberdeau,25,FLA,C,48,12,37,49
35,Cam Atkinson,29,CBJ,RW,47,27,21,48
36,Dylan Larkin,22,DET,C,51,21,27,48
37,Jonathan Toews,30,CHI,C,51,22,26,48
38,Aleksander Barkov,23,FLA,C,48,17,30,47
39,John Carlson,29,WSH,D,49,8,39,47
40,Logan Couture,29,SJS,C,52,19,28,47
41,Matt Duchene,28,OTT,C,41,20,27,47
42,Jake Guentzel,24,PIT,C,48,24,23,47
43,Timo Meier,22,SJS,RW,49,19,27,46
44,Ryan Nugent-Hopkins,25,EDM,C,50,16,30,46
45,Mathew Barzal,21,NYI,C,49,14,31,45
46,Tomas Hertl,25,SJS,C,47,22,23,45
47,Joe Pavelski,34,SJS,C,52,27,18,45
48,Elias Pettersson,20,VAN,C,40,23,22,45
49,Tyler Seguin,27,DAL,C,49,18,27,45
50,Max Domi,23,MTL,LW,51,16,28,44
51,Zach Parise,34,MIN,LW,49,20,24,44
52,Sam Reinhart,23,BUF,C,48,11,33,44
53,Jeff Skinner,26,BUF,C,48,30,14,44
54,Mika Zibanejad,25,NYR,C,48,17,27,44
55,Alex DeBrincat,21,CHI,RW,51,25,18,43
56,Pierre-Luc Dubois,20,CBJ,LW,48,17,26,43
57,Ryan Johansen,26,NSH,C,50,9,34,43
58,Erik Karlsson,28,SJS,D,47,3,40,43
59,Auston Matthews,21,TOR,C,35,21,22,43
60,Gustav Nyquist,29,DET,RW,51,11,32,43
61,Teuvo Teravainen,24,CAR,C,50,11,32,43
62,Mike Hoffman,29,FLA,C,48,23,19,42
63,Evander Kane,27,SJS,LW,52,21,21,42
64,Patrice Bergeron,33,BOS,C,33,14,27,41
65,Mikael Granlund,26,MIN,C,50,12,29,41
66,Bo Horvat,23,VAN,C,51,18,23,41
67,Evgeny Kuznetsov,26,WSH,C,44,9,32,41
68,Alexander Radulov,32,DAL,RW,39,14,27,41
69,Evgeni Dadonov,29,FLA,RW,48,18,22,40
70,David Krejci,32,BOS,C,49,10,30,40
71,Kris Letang,31,PIT,D,46,11,29,40
72,Alex Tuch,22,VEG,RW,44,16,24,40
73,Tyson Barrie,27,COL,D,46,6,33,39
74,Thomas Chabot,22,OTT,D,42,10,29,39
75,Sean Couturier,26,PHI,C,46,19,20,39
76,Jakub Voracek,29,PHI,RW,48,11,28,39
77,Kyle Connor,22,WPG,LW,48,19,19,38
78,Ryan Dzingel,26,OTT,C,48,20,18,38
79,Kyle Palmieri,27,NJD,RW,48,22,16,38
80,Tomas Tatar,28,MTL,C,51,16,22,38
81,Keith Yandle,32,FLA,D,48,7,31,38
82,Josh Bailey,29,NYI,C,49,11,26,37
83,Jonathan Drouin,23,MTL,LW,51,14,23,37
84,Mattias Ekholm,28,NSH,D,51,6,31,37
85,Taylor Hall,27,NJD,LW,33,11,26,37
86,Chris Kreider,27,NYR,C,48,22,15,37
87,Anders Lee,28,NYI,C,49,18,19,37
88,Roman Josi,28,NSH,D,52,8,28,36
89,Eric Staal,34,MIN,C,49,17,19,36
90,Clayton Keller,20,ARI,C,50,11,24,35
91,Jon Marchessault,28,VEG,C,52,17,18,35
92,David Perron,30,STL,LW,45,17,18,35
93,Jeff Petry,31,MTL,D,51,10,25,35
94,Jamie Benn,29,DAL,LW,48,18,16,34
95,Brock Boeser,21,VAN,RW,38,16,18,34
96,Tyler Johnson,28,TBL,C,47,18,16,34
97,Anze Kopitar,31,LAK,C,49,14,20,34
98,Patrik Laine,20,WPG,RW,48,25,9,34
99,Phillip Danault,25,MTL,LW,51,8,25,33
100,Ryan Getzlaf,33,ANA,C,45,10,23,33
101,Kevin Hayes,26,NYR,RW,39,10,23,33
102,Victor Hedman,28,TBL,D,42,7,26,33
103,Ryan Suter,34,MIN,D,50,6,27,33
104,Nico Hischier,20,NJD,C,44,13,19,32
105,Nazem Kadri,28,TOR,C,49,13,19,32
106,William Karlsson,26,VEG,C,52,16,16,32
107,Torey Krug,27,BOS,D,38,5,27,32
108,Vladimir Tarasenko,27,STL,RW,48,17,15,32
109,Chris Tierney,24,OTT,C,50,6,26,32
110,Brock Nelson,27,NYI,C,49,16,15,31
111,Carl Soderberg,33,COL,C,50,17,14,31
112,Andreas Athanasiou,24,DET,C,45,17,13,30
113,Brendan Gallagher,26,MTL,RW,51,19,11,30
114,Yanni Gourde,27,TBL,C,49,12,18,30
115,Erik Gustafsson,26,CHI,D,48,8,22,30
116,Kasperi Kapanen,22,TOR,RW,49,15,15,30
117,Kevin Labanc,23,SJS,RW,52,5,25,30
118,Rasmus Ristolainen,24,BUF,D,48,5,25,30
119,Bobby Ryan,31,OTT,LW,47,11,19,30
120,Mikael Backlund,29,CGY,C,47,12,17,29
121,Dustin Brown,34,LAK,RW,40,12,17,29
122,Dustin Byfuglien,33,WPG,D,32,4,25,29
123,Filip Forsberg,24,NSH,C,35,18,11,29
124,Seth Jones,24,CBJ,D,41,7,22,29
125,Bryan Little,31,WPG,RW,48,11,18,29
126,Jared Spurgeon,29,MIN,D,50,8,21,29
